edad,peso,altura,muneca,biceps,sexo
43,87.3,188,12.2,35.8,Hombre
65,80,174,12,35,Hombre
45,82.3,176.5,11.2,38.5,Hombre
37,73.6,180.3,11.2,32.2,Hombre
55,74.1,167.6,11.8,32.9,Hombre
33,85.9,188,12.4,38.5,Hombre
25,73.2,180.3,10.6,38.3,Hombre
35,76.3,167.6,11.3,35,Hombre
28,65.9,183,10.2,32.1,Hombre
26,90.9,183,12,40.4,Hombre
43,89.1,179.1,11.3,36.5,Hombre
30,62.3,170.2,11.5,34.2,Hombre
26,82.7,177.8,11.5,35.2,Hombre
51,79.1,179.1,11.8,34,Hombre
30,98.2,190.5,10.7,34.8,Hombre
24,84.1,177.8,11.5,38.6,Hombre
35,83.2,180.3,11.1,36.4,Hombre
37,83.2,180.3,10.5,34,Hombre
22,51.6,161.2,9.2,24.3,Mujer
20,59,167.5,9.9,27.8,Mujer
19,49.2,159.5,8.9,24,Mujer
25,63,157,9.5,28,Mujer
21,53.6,155.8,9.1,26.9,Mujer
23,59,170,10,26.5,Mujer
26,47.6,159.1,9.4,24.1,Mujer
22,69.8,166,10.7,29.2,Mujer
28,66.8,176.2,9.8,29,Mujer
40,75.2,160.2,11.5,33.6,Mujer
32,55.2,172.5,8.6,24.8,Mujer
25,54.2,170.9,9.7,25.4,Mujer
25,62.5,172.9,9.2,25.9,Mujer
29,42,153.4,8.3,24,Mujer
22,50,160,8.6,25.6,Mujer
25,49.8,147.2,9,26,Mujer
23,49.2,168.2,9.6,23.5,Mujer
37,73.2,175,11,31,Mujer
