Sexo,Educacion,EstadoCivil,Edad,MontoCredito
2,2,1,24,20000
2,2,2,26,120000
2,2,2,34,90000
2,2,1,37,50000
1,2,1,57,50000
1,1,2,37,50000
1,1,2,29,500000
2,2,2,23,100000
2,3,1,28,140000
1,3,2,35,20000
2,3,2,34,200000
2,1,2,51,260000
2,2,2,41,630000
1,2,2,30,70000
1,1,2,29,250000
2,3,3,23,50000
1,1,2,24,20000
1,1,1,49,320000
2,1,1,49,360000
2,1,2,29,180000
2,3,2,39,130000
2,2,1,39,120000
2,2,2,26,70000
2,1,1,40,450000
1,1,2,23,90000
1,3,2,23,50000
1,1,2,27,60000
2,3,2,30,50000
2,3,1,47,50000
1,1,2,26,50000
2,1,2,27,230000
1,2,2,33,50000
1,1,2,32,100000
2,2,1,54,500000
1,1,1,58,500000
1,1,2,30,160000
1,2,1,40,280000
2,2,2,22,60000
1,1,2,25,50000
1,1,2,31,280000
1,1,2,33,360000
2,1,2,25,70000
1,2,2,22,10000
2,2,1,37,140000
2,1,2,30,40000
1,1,2,29,210000
2,1,2,22,20000
2,5,2,46,150000
1,2,2,32,380000
1,1,2,24,20000
1,3,2,42,70000
2,3,3,43,100000
2,2,1,49,310000
2,1,2,25,180000
2,1,2,29,150000
2,1,1,45,500000
2,3,1,34,180000
2,2,1,34,180000
2,1,2,34,200000
2,2,1,29,400000
2,3,1,28,500000
1,2,1,39,70000
1,1,2,29,50000
2,2,1,46,50000
2,2,1,51,130000
1,1,1,57,200000
1,2,1,56,10000
2,1,2,30,210000
2,3,2,29,130000
1,5,2,22,20000
1,1,2,31,80000
1,2,2,29,320000
2,2,1,32,200000
2,1,2,37,290000
1,1,2,32,340000
1,2,2,24,20000
1,3,2,25,50000
2,1,1,45,300000
2,2,2,22,30000
2,2,2,44,240000
2,3,3,33,470000
2,1,2,26,360000
1,3,2,30,60000
2,2,1,44,400000
2,3,2,49,50000
1,2,2,33,160000
2,1,1,45,360000
2,2,2,32,160000
2,1,1,35,130000
1,3,2,44,20000
1,1,1,53,200000
2,1,2,39,280000
2,1,2,27,100000
2,2,1,37,160000
2,2,2,23,60000
1,2,2,35,90000
1,1,1,43,360000
1,1,2,27,150000
2,3,1,22,50000
1,2,1,38,20000
1,1,2,32,140000
2,1,2,30,380000
1,1,1,63,480000
2,3,2,22,50000
2,2,2,26,60000
2,2,2,24,70000
2,2,1,36,80000
1,1,2,52,350000
1,2,2,38,130000
1,2,1,35,360000
2,1,1,31,330000
1,3,1,47,50000
1,2,1,41,280000
2,1,2,24,100000
1,2,2,41,50000
1,1,2,24,30000
1,1,2,28,240000
1,2,2,26,80000
1,2,1,34,400000
2,2,2,38,240000
1,3,2,37,50000
1,1,1,40,450000
2,1,1,48,110000
2,2,1,35,310000
1,1,2,27,20000
1,2,2,23,20000
1,3,2,52,200000
1,1,1,36,180000
1,2,1,51,50000
1,3,1,55,60000
2,1,2,23,30000
1,1,2,41,240000
1,2,1,34,420000
1,3,1,46,330000
2,2,2,22,30000
1,2,1,34,240000
1,1,2,27,150000
2,2,1,33,210000
2,3,1,51,50000
1,1,2,24,50000
1,1,2,47,240000
1,2,2,28,180000
1,2,2,23,50000
1,2,2,29,170000
1,1,2,29,20000
1,1,2,28,50000
2,2,2,27,170000
1,1,2,34,200000
2,2,1,23,80000
2,1,1,60,260000
1,2,1,32,140000
1,1,2,25,80000
1,1,2,41,350000
2,2,1,56,280000
2,3,2,26,30000
1,1,1,34,140000
2,1,2,37,200000
2,3,2,30,200000
1,3,1,45,210000
1,3,1,57,50000
1,1,2,41,30000
1,2,2,27,50000
1,3,1,47,290000
2,1,1,34,250000
2,2,1,46,60000
2,1,2,27,110000
1,1,2,50,370000
1,2,1,27,100000
2,2,1,35,90000
2,2,2,22,50000
1,2,2,37,270000
2,1,2,30,300000
2,2,2,22,50000
2,1,2,24,50000
1,1,2,29,360000
1,3,1,56,130000
1,1,2,30,80000
1,2,2,30,50000
2,2,2,22,20000
2,2,1,29,80000
1,1,2,37,240000
2,3,2,35,80000
2,1,1,47,500000
2,2,1,24,60000
1,2,2,25,20000
2,2,1,38,100000
2,1,2,32,360000
2,3,2,47,200000
2,2,1,34,130000
2,2,2,31,20000
1,1,2,32,310000
2,1,2,27,60000
2,1,2,29,180000
2,1,2,24,180000
1,2,1,36,50000
2,1,2,24,50000
2,2,1,34,150000
2,1,2,22,20000
2,1,1,34,500000
2,3,2,22,30000
2,1,1,38,180000
1,1,2,31,140000
2,1,2,26,140000
1,2,2,26,120000
2,2,1,48,360000
1,3,1,43,20000
1,1,1,47,100000
2,2,1,41,210000
2,2,2,24,80000
2,1,1,50,330000
1,1,2,24,220000
2,1,1,38,210000
2,3,1,43,40000
1,2,2,39,30000
1,2,2,27,470000
1,3,1,42,30000
2,2,1,36,240000
1,2,2,36,80000
2,3,0,31,110000
2,1,2,38,310000
2,1,1,40,360000
2,3,2,45,330000
2,2,2,35,300000
2,2,2,33,320000
2,3,2,37,50000
2,1,2,28,170000
1,3,1,44,350000
1,2,1,37,20000
1,2,2,23,50000
2,3,2,24,20000
2,1,2,24,50000
1,2,2,23,20000
1,2,1,26,50000
1,2,2,34,190000
2,2,1,33,60000
1,1,2,35,80000
2,2,2,27,150000
2,1,2,31,210000
2,3,1,50,240000
2,2,3,41,140000
2,1,2,28,60000
1,1,2,39,50000
2,2,2,27,50000
2,1,2,32,180000
2,1,2,40,30000
2,2,2,40,20000
2,2,1,75,250000
2,2,2,27,100000
1,1,2,25,330000
1,3,1,46,50000
2,2,2,26,50000
1,2,2,28,30000
2,2,2,26,140000
2,1,2,28,160000
2,2,2,29,400000
1,2,1,25,50000
2,2,1,48,140000
2,2,1,33,160000
2,3,1,43,100000
1,1,1,48,220000
2,1,2,29,510000
1,2,2,29,50000
2,1,1,38,160000
2,1,2,37,230000
2,1,2,37,80000
2,2,1,25,150000
1,3,2,23,10000
2,3,2,49,130000
2,1,2,48,40000
1,2,2,27,50000
1,3,2,32,100000
1,1,1,34,120000
2,1,2,58,260000
2,2,2,33,200000
2,2,2,28,360000
2,2,2,36,70000
1,1,1,40,460000
2,1,2,26,50000
1,3,1,33,50000
2,2,1,31,250000
2,1,2,27,30000
1,2,1,44,270000
2,3,2,30,180000
2,1,2,28,100000
2,3,1,32,230000
2,1,1,46,210000
1,1,2,38,210000
2,2,1,46,440000
2,2,2,25,100000
2,2,1,46,240000
1,1,2,33,280000
2,2,2,22,50000
1,2,1,43,30000
1,2,2,27,10000
1,1,2,29,130000
1,1,2,31,200000
2,2,1,29,120000
2,2,1,36,210000
2,1,1,36,280000
1,1,2,34,300000
1,2,2,37,100000
2,1,2,36,440000
2,3,1,40,50000
2,1,2,25,20000
2,1,2,27,200000
2,2,2,26,110000
2,2,1,36,500000
2,2,1,27,300000
1,3,1,55,30000
2,1,2,27,60000
2,2,1,38,400000
2,2,1,34,180000
1,1,2,40,20000
2,3,1,49,200000
1,1,2,27,100000
1,2,2,23,60000
2,2,2,36,110000
2,3,1,53,260000
2,3,1,46,50000
1,2,2,29,180000
1,2,2,29,110000
2,1,2,27,340000
1,2,2,24,50000
2,2,1,28,230000
2,2,2,32,360000
1,2,2,43,210000
2,2,1,41,220000
2,2,1,34,60000
1,2,1,55,340000
1,1,1,40,150000
2,2,1,37,200000
2,2,2,40,130000
2,1,2,28,60000
2,2,1,43,400000
1,1,2,27,20000
2,1,2,28,190000
2,1,2,30,260000
2,2,2,31,140000
2,2,1,31,50000
2,1,2,34,120000
2,2,2,30,240000
1,2,2,36,50000
2,1,2,29,200000
1,1,1,39,180000
2,1,2,26,180000
2,1,2,29,160000
2,2,2,26,100000
2,2,2,29,50000
2,2,2,31,140000
2,2,2,26,30000
1,1,2,26,90000
1,1,1,36,200000
1,1,2,30,380000
2,2,2,43,80000
1,3,1,58,50000
1,2,1,45,180000
2,2,2,26,240000
1,2,2,34,380000
2,4,2,24,110000
1,1,1,34,260000
2,2,2,23,500000
2,2,2,30,320000
1,2,2,32,50000
1,1,1,40,110000
2,1,2,35,230000
2,2,1,56,330000
2,2,1,61,50000
1,2,2,24,10000
1,1,1,40,300000
2,2,1,32,20000
1,2,1,36,180000
1,1,2,30,160000
2,1,2,34,90000
1,3,3,54,30000
1,1,1,46,180000
1,3,1,58,30000
1,2,1,43,30000
2,1,2,28,140000
1,1,2,30,210000
1,2,2,31,50000
2,2,2,29,130000
2,2,1,37,50000
1,3,1,36,140000
2,2,2,28,170000
1,2,2,25,80000
2,5,1,42,410000
2,1,2,29,80000
1,3,1,73,80000
1,2,1,43,150000
1,1,1,30,260000
1,1,1,38,350000
2,2,1,39,280000
1,2,1,44,310000
2,2,2,29,140000
1,1,1,51,360000
2,1,2,27,140000
1,1,2,38,100000
2,2,2,22,50000
2,2,1,30,210000
2,2,2,25,120000
1,1,2,29,240000
2,3,3,42,60000
1,1,2,41,150000
1,2,1,48,30000
2,1,2,29,160000
1,1,1,52,200000
2,2,1,25,120000
1,1,1,37,500000
2,1,2,27,320000
1,1,2,31,280000
2,1,2,23,60000
2,1,1,38,200000
2,1,1,32,230000
2,2,2,27,230000
2,3,1,41,480000
2,3,1,35,50000
2,1,2,31,200000
2,1,2,30,50000
1,2,1,48,50000
2,1,2,36,260000
1,1,2,24,30000
2,1,2,29,440000
2,2,2,38,230000
1,2,1,38,200000
2,2,1,30,490000
2,2,1,32,80000
2,3,2,49,20000
2,1,2,31,170000
1,1,2,27,70000
2,2,2,33,210000
2,2,2,25,90000
2,1,2,27,390000
2,1,2,29,110000
2,1,1,36,580000
1,3,1,55,360000
2,2,1,32,270000
2,1,2,27,60000
1,3,1,37,110000
2,1,1,25,50000
2,1,2,23,80000
1,2,2,23,50000
1,1,2,32,100000
2,1,2,26,30000
2,1,2,27,200000
1,1,2,44,240000
1,2,2,34,220000
2,1,2,28,160000
2,1,1,53,180000
1,4,1,42,200000
2,3,1,30,140000
1,1,1,51,380000
1,1,1,53,600000
1,2,2,37,260000
2,1,2,26,200000
1,2,2,42,80000
1,2,2,39,40000
1,3,2,39,130000
1,1,2,32,50000
2,2,1,41,230000
1,2,1,48,70000
2,2,1,38,180000
2,2,1,36,80000
2,2,2,26,290000
2,1,2,28,230000
2,3,3,56,170000
1,1,1,59,230000
1,1,2,38,220000
1,2,2,32,230000
1,2,1,38,500000
2,1,1,41,90000
2,3,2,35,390000
2,2,2,41,400000
1,2,1,34,180000
1,3,1,38,60000
2,2,1,32,120000
2,2,2,29,60000
1,1,2,44,50000
2,2,1,37,70000
2,1,1,38,500000
1,1,2,31,200000
2,2,1,40,250000
1,2,2,26,140000
2,2,2,28,70000
1,3,1,48,90000
2,2,1,43,100000
1,2,1,31,190000
2,1,1,42,230000
1,2,1,39,320000
2,2,1,36,220000
2,1,1,34,260000
2,2,2,32,90000
2,2,1,43,30000
1,2,2,30,260000
2,2,2,28,170000
2,1,1,28,80000
1,1,1,41,50000
2,3,2,47,200000
1,2,2,23,20000
2,1,1,49,250000
1,1,1,38,20000
2,2,1,38,30000
2,2,1,35,90000
2,6,2,46,230000
2,1,1,33,130000
1,6,1,53,30000
1,1,2,35,160000
2,2,2,43,500000
2,2,2,28,180000
2,2,1,30,80000
1,1,2,26,120000
1,2,1,31,130000
2,2,2,35,120000
1,1,2,28,360000
1,2,2,23,50000
2,2,2,23,20000
1,3,1,56,100000
1,3,1,32,70000
1,2,1,47,50000
2,2,2,22,10000
2,1,1,34,290000
2,1,1,31,30000
2,2,2,27,410000
1,1,2,28,360000
2,2,1,42,140000
2,1,2,32,210000
2,2,2,27,220000
1,2,2,27,20000
2,2,1,45,620000
1,1,2,26,360000
2,2,2,21,20000
1,2,2,23,50000
1,2,3,30,50000
1,2,2,46,10000
2,3,1,50,100000
1,1,2,26,50000
1,2,2,25,60000
2,1,2,35,440000
1,2,1,44,120000
2,1,2,52,50000
2,2,1,40,110000
2,1,2,38,200000
2,1,2,28,150000
2,2,1,36,30000
2,1,2,24,100000
2,1,1,34,360000
2,1,2,31,390000
2,1,1,41,220000
2,2,2,25,160000
2,1,2,28,230000
1,1,2,27,120000
1,3,1,52,100000
2,1,2,41,190000
1,1,1,56,50000
2,1,1,42,240000
2,2,2,24,40000
2,2,1,47,630000
2,1,1,33,160000
2,2,2,32,110000
1,2,2,29,20000
2,3,1,53,210000
1,1,2,34,270000
2,2,2,52,360000
2,2,1,42,60000
1,2,2,38,360000
2,1,2,45,390000
2,3,2,35,250000
2,1,2,24,90000
1,1,2,28,360000
1,3,2,26,50000
2,1,1,40,270000
2,1,2,29,200000
2,2,2,23,50000
1,1,2,33,350000
2,2,2,60,160000
2,3,1,49,80000
1,1,1,53,290000
2,1,2,28,270000
1,1,2,31,80000
1,2,2,36,50000
1,2,1,35,30000
1,2,2,28,30000
1,2,2,33,90000
1,1,2,26,160000
2,3,2,53,80000
1,2,2,42,50000
2,1,2,25,20000
1,1,1,43,220000
1,3,2,25,210000
2,2,2,29,130000
2,2,1,31,260000
2,1,1,30,230000
1,1,2,34,160000
1,1,1,35,50000
1,2,1,32,80000
1,3,2,46,110000
1,1,1,43,200000
1,2,2,29,360000
2,3,2,31,210000
2,2,2,24,80000
2,2,1,36,300000
2,2,1,43,310000
1,3,1,59,30000
1,1,1,53,170000
2,2,2,28,140000
2,2,2,31,180000
1,1,2,34,50000
2,2,1,36,50000
2,1,2,24,110000
2,3,1,36,450000
2,2,1,34,200000
1,1,2,43,220000
2,1,2,29,360000
1,2,1,37,50000
1,2,2,23,40000
2,2,1,37,190000
1,1,2,33,150000
2,1,1,37,200000
2,2,1,56,270000
1,1,2,25,60000
2,2,1,39,200000
2,2,1,39,150000
2,2,2,28,180000
2,1,2,27,90000
2,2,1,37,360000
2,1,2,24,90000
2,2,2,24,20000
1,1,1,46,70000
1,1,1,39,230000
1,3,1,48,30000
2,3,3,45,200000
1,3,2,49,100000
2,2,2,23,50000
2,3,1,25,20000
2,2,1,47,210000
1,3,1,56,110000
2,3,1,44,20000
2,3,1,49,50000
1,2,1,41,50000
2,1,2,40,400000
1,2,2,31,170000
1,2,1,42,280000
2,3,1,28,130000
2,2,2,32,210000
1,2,2,28,370000
2,2,1,31,30000
1,3,2,39,150000
1,3,1,31,60000
2,2,2,24,80000
2,2,1,44,280000
2,2,2,46,20000
1,1,2,32,270000
2,2,2,26,240000
2,1,2,22,20000
2,1,1,42,450000
1,2,2,33,10000
1,2,1,39,280000
2,3,2,27,290000
2,1,2,28,190000
2,1,2,23,80000
2,2,2,28,280000
2,1,1,33,160000
1,2,1,40,90000
2,1,2,37,140000
1,1,2,22,50000
2,2,1,32,40000
2,3,1,43,130000
2,3,1,27,70000
2,2,1,35,30000
2,3,1,35,100000
2,1,1,30,20000
2,2,2,34,30000
1,2,1,34,20000
2,1,2,28,100000
1,2,2,25,30000
2,1,1,41,320000
1,3,2,42,90000
1,2,2,40,190000
1,1,2,28,200000
2,2,2,31,300000
2,1,2,56,30000
2,2,3,45,110000
2,1,2,29,230000
2,1,1,35,230000
2,2,2,28,310000
1,1,1,40,320000
1,1,1,47,360000
2,3,1,41,20000
2,2,2,27,170000
1,1,1,40,140000
1,2,2,32,80000
1,2,2,35,150000
1,2,2,27,170000
2,2,1,29,200000
1,1,2,30,70000
1,2,1,37,320000
2,1,2,29,150000
2,1,1,34,50000
2,2,2,34,90000
1,1,1,41,280000
2,1,2,31,300000
2,2,2,40,400000
2,1,1,27,200000
2,3,2,22,10000
2,2,3,30,50000
2,2,3,22,30000
1,1,2,26,50000
1,2,1,38,50000
2,3,1,46,30000
1,2,2,24,20000
1,2,2,49,20000
1,1,3,49,50000
2,2,1,42,30000
2,1,1,30,360000
1,2,1,42,170000
2,1,2,31,400000
2,2,1,49,50000
2,2,2,27,160000
2,2,1,33,70000
2,1,1,35,150000
2,2,2,48,80000
2,2,2,22,30000
1,2,2,22,10000
2,1,2,27,180000
1,1,1,47,320000
2,2,2,34,80000
1,2,1,45,10000
2,2,2,39,360000
1,2,2,33,450000
2,2,2,29,330000
1,1,2,29,60000
2,3,2,26,50000
1,2,1,38,200000
1,1,2,34,120000
2,1,1,37,160000
1,2,1,57,110000
2,3,1,50,70000
2,3,2,28,150000
2,1,2,31,610000
2,1,2,25,110000
2,2,2,25,80000
2,2,1,33,170000
2,1,2,30,110000
2,1,1,51,140000
1,1,2,51,70000
2,2,1,46,260000
1,3,2,38,170000
2,2,1,34,50000
2,3,1,34,300000
2,1,2,31,150000
2,2,2,25,50000
2,2,1,26,50000
2,1,2,25,90000
1,2,2,26,50000
2,2,2,43,500000
2,2,1,36,470000
1,2,2,58,230000
2,2,2,26,140000
2,2,1,30,230000
2,2,2,31,420000
2,2,2,24,30000
2,2,2,52,50000
2,2,2,24,140000
2,2,1,35,260000
2,3,2,29,90000
2,2,1,33,240000
2,1,2,35,510000
2,2,1,35,110000
2,1,2,28,210000
1,2,1,40,220000
2,1,1,35,200000
2,2,2,53,360000
1,1,2,44,260000
1,2,1,33,20000
2,2,1,32,120000
2,1,2,33,50000
2,1,2,26,60000
1,1,2,26,200000
1,2,2,26,20000
